s 8 1048576 0
s 16 1048576 9.536743164e-09
s 32 1048576 0
s 64 1048576 9.536743164e-09
s 128 1048576 0
s 256 1048576 9.536743164e-09
s 512 1048576 0
s 1024 1048576 9.536743164e-09
s 2048 1048576 9.536743164e-09
s 4096 1048576 0
s 8192 1048576 0
s 16384 1048576 9.536743164e-09
s 32768 1048576 9.536743164e-09
s 65536 1048576 9.536743164e-09
s 131072 1048576 0
s 262144 1048576 0
s 524288 1048576 0
s 1048576 1048576 9.536743164e-09
mS 2 10485760 2.689361572e-07
mS 4 5242880 5.207061768e-07
mS 8 2621440 1.007080078e-06
mS 16 1310720 1.983642578e-06
mS 32 655360 3.952026367e-06
mS 64 327680 7.904052734e-06
mS 128 163840 1.574707031e-05
mS 256 81920 3.173828125e-05
mS 512 40960 6.323242188e-05
mS 1024 20480 0.0001254882813
mS 2048 10240 0.00025390625
mS 4096 5120 0.00050390625
mS 8192 2560 0.00101171875
mS 16384 1280 0.00203125
mS 32768 640 0.004046875
mS 65536 320 0.00809375
mS 131072 160 0.0161875
mS 262144 80 0.0325
mS 524288 40 0.065
mS 1048576 20 0.129
lP 2 10485760 8.678436279e-08
lP 4 5242880 8.630752563e-08
lP 8 2621440 8.296966553e-08
lP 16 1310720 8.058547974e-08
lP 32 655360 7.915496826e-08
lP 64 327680 7.963180542e-08
lP 128 163840 7.820129395e-08
lP 256 81920 7.629394531e-08
lP 512 40960 7.486343384e-08
lP 1024 20480 7.677078247e-08
lP 2048 10240 7.629394531e-08
lP 4096 5120 7.677078247e-08
lP 8192 2560 7.677078247e-08
lP 16384 1280 7.629394531e-08
lP 32768 640 7.677078247e-08
lP 65536 320 7.629394531e-08
lP 131072 160 7.629394531e-08
lP 262144 80 7.629394531e-08
lP 524288 40 7.677078247e-08
lP 1048576 20 7.677078247e-08
aP 32 2 5242880 6.96182251e-08
aP 64 2 5242880 6.96182251e-08
aP 128 2 5242880 6.96182251e-08
aP 32 4 2621440 4.863739014e-08
aP 64 4 2621440 4.768371582e-08
aP 128 4 2621440 4.863739014e-08
aP 32 8 1310720 4.005432129e-08
aP 64 8 1310720 4.005432129e-08
aP 128 8 1310720 3.910064697e-08
aP 32 16 655360 3.433227539e-08
aP 64 16 655360 3.433227539e-08
aP 128 16 655360 3.433227539e-08
aP 32 32 327680 3.147125244e-08
aP 64 32 327680 3.051757813e-08
aP 128 32 327680 3.147125244e-08
aP 32 64 163840 3.337860107e-08
aP 64 64 163840 2.956390381e-08
aP 128 64 163840 2.956390381e-08
aP 32 128 81920 3.337860107e-08
aP 64 128 81920 3.147125244e-08
aP 128 128 81920 2.861022949e-08
aP 32 256 40960 3.337860107e-08
aP 64 256 40960 3.147125244e-08
aP 128 256 40960 3.147125244e-08
aP 32 512 20480 3.242492676e-08
aP 64 512 20480 3.242492676e-08
aP 128 512 20480 3.147125244e-08
aP 32 1024 10240 3.242492676e-08
aP 64 1024 10240 3.242492676e-08
aP 128 1024 10240 3.147125244e-08
aP 32 2048 5120 3.242492676e-08
aP 64 2048 5120 3.242492676e-08
aP 128 2048 5120 3.147125244e-08
aP 32 4096 2560 3.242492676e-08
aP 64 4096 2560 3.147125244e-08
aP 128 4096 2560 3.242492676e-08
aP 32 8192 1280 3.147125244e-08
aP 64 8192 1280 3.242492676e-08
aP 128 8192 1280 3.147125244e-08
aP 32 16384 640 3.242492676e-08
aP 64 16384 640 3.147125244e-08
aP 128 16384 640 3.242492676e-08
aP 32 32768 320 3.433227539e-08
aP 64 32768 320 3.433227539e-08
aP 128 32768 320 3.528594971e-08
aP 32 65536 160 3.623962402e-08
aP 64 65536 160 3.528594971e-08
aP 128 65536 160 3.623962402e-08
aP 32 131072 80 3.719329834e-08
aP 64 131072 80 3.623962402e-08
aP 128 131072 80 3.623962402e-08
aP 32 262144 40 3.719329834e-08
aP 64 262144 40 3.719329834e-08
aP 128 262144 40 3.719329834e-08
aP 32 524288 20 3.719329834e-08
aP 64 524288 20 3.719329834e-08
aP 128 524288 20 3.719329834e-08
aP 32 1048576 10 3.719329834e-08
aP 64 1048576 10 3.814697266e-08
aP 128 1048576 10 3.719329834e-08
